"filename", "language", "TypeScript", "TypeScript JSX", "Less", "XML", "comment", "blank", "total"
"d:\vite-npm\file-manager\src\lib\style\dir-tree.less", "Less", 0, 0, 71, 0, 0, 10, 81
"d:\vite-npm\file-manager\src\lib\style\image-editor.less", "Less", 0, 0, 57, 0, 0, 11, 68
"d:\vite-npm\file-manager\src\lib\style\index.less", "Less", 0, 0, 148, 0, 9, 17, 174
"d:\vite-npm\file-manager\src\lib\style\slider.less", "Less", 0, 0, 4, 0, 2, 0, 6
"d:\vite-npm\file-manager\src\lib\style\toobar.less", "Less", 0, 0, 80, 0, 1, 11, 92
"d:\vite-npm\file-manager\src\lib\types\drag.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"d:\vite-npm\file-manager\src\lib\types\index.ts", "TypeScript", 26, 0, 0, 0, 1, 5, 32
"d:\vite-npm\file-manager\src\lib\types\namespace.ts", "TypeScript", 111, 0, 0, 0, 0, 10, 121
"d:\vite-npm\file-manager\src\lib\utils\area.ts", "TypeScript", 11, 0, 0, 0, 5, 6, 22
"d:\vite-npm\file-manager\src\lib\utils\axios.ts", "TypeScript", 48, 0, 0, 0, 2, 11, 61
"d:\vite-npm\file-manager\src\lib\utils\context.ts", "TypeScript", 13, 0, 0, 0, 0, 4, 17
"d:\vite-npm\file-manager\src\lib\utils\contextmenuOption.ts", "TypeScript", 43, 0, 0, 0, 0, 2, 45
"d:\vite-npm\file-manager\src\lib\utils\date.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"d:\vite-npm\file-manager\src\lib\utils\drag.ts", "TypeScript", 120, 0, 0, 0, 3, 14, 137
"d:\vite-npm\file-manager\src\lib\utils\event.ts", "TypeScript", 34, 0, 0, 0, 0, 7, 41
"d:\vite-npm\file-manager\src\lib\utils\extension.ts", "TypeScript", 39, 0, 0, 0, 0, 7, 46
"d:\vite-npm\file-manager\src\lib\utils\from-darg.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"d:\vite-npm\file-manager\src\lib\utils\icon.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"d:\vite-npm\file-manager\src\lib\utils\minetype.ts", "TypeScript", 30, 0, 0, 0, 0, 3, 33
"d:\vite-npm\file-manager\src\lib\utils\path.ts", "TypeScript", 4, 0, 0, 0, 1, 2, 7
"d:\vite-npm\file-manager\src\lib\utils\pub-sub.ts", "TypeScript", 96, 0, 0, 0, 5, 13, 114
"d:\vite-npm\file-manager\src\lib\utils\resize.ts", "TypeScript", 26, 0, 0, 0, 2, 3, 31
"d:\vite-npm\file-manager\src\lib\utils\size.ts", "TypeScript", 8, 0, 0, 0, 0, 4, 12
"d:\vite-npm\file-manager\src\lib\utils\tree-node.ts", "TypeScript", 32, 0, 0, 0, 0, 2, 34
"d:\vite-npm\file-manager\src\lib\utils\uid.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 1544, 2948, 503, 1, 122, 595, 5713
